City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,The Valley,40,AI,2021-12-02 15:43:27,70,18.217,-63.0578,303.07,6.17
1,Shīeli,100,KZ,2021-12-02 15:43:27,36,44.1667,66.75,286.08,1.5
2,La Unión,97,PE,2021-12-02 15:43:27,52,-5.4,-80.75,299.36,2.86
3,Cape Town,20,ZA,2021-12-02 15:37:09,46,-33.9258,18.4232,293.76,8.75
4,Cairns,89,AU,2021-12-02 15:40:20,90,-16.9167,145.7667,300.12,1.54
5,Fortuna,90,US,2021-12-02 15:42:39,76,40.5982,-124.1573,283.35,0.0
6,Ulladulla,55,AU,2021-12-02 15:43:28,93,-35.35,150.4667,290.86,1.88
7,Yellowknife,75,CA,2021-12-02 15:39:04,89,62.456,-114.3525,255.68,5.14
8,Lata,4,PT,2021-12-02 15:42:11,54,40.1629,-8.3327,286.51,3.62
9,Rikitea,9,PF,2021-12-02 15:34:17,77,-23.1203,-134.9692,297.33,8.13
10,Mataura,98,NZ,2021-12-02 15:39:10,91,-46.1927,168.8643,286.19,0.79
11,Cherskiy,100,RU,2021-12-02 15:39:17,84,68.75,161.3,247.05,2.33
12,Saint-Philippe,47,RE,2021-12-02 15:39:01,84,-21.3585,55.7679,298.92,5.98
13,Nanortalik,98,GL,2021-12-02 15:42:19,85,60.1432,-45.2371,272.38,6.47
14,Atuona,70,PF,2021-12-02 15:40:31,78,-9.8,-139.0333,298.82,9.65
15,Hithadhoo,79,MV,2021-12-02 15:39:05,76,-0.6,73.0833,301.15,3.11
16,Misratah,0,LY,2021-12-02 15:43:30,33,32.3754,15.0925,292.97,5.34
17,Jamestown,90,US,2021-12-02 15:40:13,82,42.097,-79.2353,282.92,4.47
18,Hong Kong,11,HK,2021-12-02 15:35:53,34,22.2855,114.1577,292.18,1.79
19,Ushuaia,75,AR,2021-12-02 15:39:06,54,-54.8,-68.3,283.96,5.66
20,Saint Paul Harbor,1,US,2021-12-02 15:38:58,58,57.79,-152.4072,265.88,13.38
21,Kajaani,40,FI,2021-12-02 15:43:31,85,64.2273,27.7285,255.18,0.51
22,Ambon City,20,ID,2021-12-02 15:43:31,94,-3.6954,128.1814,296.23,2.06
23,East London,20,ZA,2021-12-02 15:39:02,82,-33.0153,27.9116,291.67,9.77
24,Punta Arenas,75,CL,2021-12-02 15:39:19,50,-53.15,-70.9167,286.21,9.77
25,Pittsfield,75,US,2021-12-02 15:44:07,86,42.4501,-73.2454,282.5,0.45
26,Kanniyākumāri,82,IN,2021-12-02 15:44:07,82,8.0833,77.5667,299.73,2.79
27,Tiksi,73,RU,2021-12-02 15:41:12,100,71.6872,128.8694,238.75,1.08
28,Butaritari,94,KI,2021-12-02 15:39:09,77,3.0707,172.7902,300.45,5.6
29,Dikson,100,RU,2021-12-02 15:39:01,95,73.5069,80.5464,250.82,1.32
30,Tasiilaq,75,GL,2021-12-02 15:40:35,90,65.6145,-37.6368,271.24,3.94
31,Vaini,20,TO,2021-12-02 15:39:18,88,-21.2,-175.2,297.24,3.6
32,Umba,81,RU,2021-12-02 15:44:28,87,66.6871,34.3429,268.74,5.32
33,Port Augusta,8,AU,2021-12-02 15:44:28,60,-32.5,137.7667,289.23,7.66
34,Severo-Kuril'sk,91,RU,2021-12-02 15:40:33,75,50.6789,156.125,273.58,15.66
35,Whitianga,100,NZ,2021-12-02 15:44:28,90,-36.8333,175.7,290.38,3.83
36,Qaqortoq,92,GL,2021-12-02 15:44:29,98,60.7167,-46.0333,272.43,1.6
37,Paciran,100,ID,2021-12-02 15:45:14,84,-6.8767,112.3761,299.55,2.58
38,Mandera,29,KE,2021-12-02 15:45:14,34,3.9366,41.867,305.34,1.69
39,Hermanus,55,ZA,2021-12-02 15:34:54,62,-34.4187,19.2345,293.09,6.79
40,Egvekinot,100,RU,2021-12-02 15:40:20,96,66.3167,-179.1667,257.43,3.33
41,Albany,100,US,2021-12-02 15:40:30,88,42.6001,-73.9662,283.12,0.45
42,Ponta do Sol,5,PT,2021-12-02 15:39:48,48,32.6667,-17.1,293.77,2.63
43,Qaanaaq,100,GL,2021-12-02 15:39:00,67,77.484,-69.3632,259.08,3.29
44,Key West,1,US,2021-12-02 15:41:12,66,24.5557,-81.7826,299.15,2.57
45,Ahipara,99,NZ,2021-12-02 15:41:10,94,-35.1667,173.1667,288.56,2.45
46,Ilulissat,90,GL,2021-12-02 15:38:13,93,69.2167,-51.1,271.16,7.72
47,Yaan,87,NG,2021-12-02 15:45:16,22,7.3833,8.5667,308.16,1.36
48,Makokou,100,GA,2021-12-02 15:45:16,89,0.5738,12.8642,297.84,0.46
49,Mazamet,75,FR,2021-12-02 15:45:16,93,43.49,2.373,279.32,6.17
50,Bambous Virieux,75,MU,2021-12-02 15:41:18,78,-20.3428,57.7575,300.29,5.14
51,Marawi,100,PH,2021-12-02 15:40:36,95,7.9986,124.2928,293.51,0.75
52,Flinders,44,AU,2021-12-02 15:42:48,83,-34.5833,150.8552,293.92,2.78
53,Mahébourg,75,MU,2021-12-02 15:40:31,78,-20.4081,57.7,300.31,5.14
54,Ust'-Ilimsk,100,RU,2021-12-02 15:45:18,97,58.0006,102.6619,264.47,1.59
55,Kavieng,75,PG,2021-12-02 15:45:18,75,-2.5744,150.7967,300.78,1.98
56,Belaya Gora,100,RU,2021-12-02 15:45:19,99,68.5333,146.4167,238.05,2.56
57,Comodoro Rivadavia,75,AR,2021-12-02 15:40:59,38,-45.8667,-67.5,288.07,6.69
58,Alofi,38,NU,2021-12-02 15:41:12,94,-19.0595,-169.9187,296.09,2.06
59,Seymchan,100,RU,2021-12-02 15:45:19,98,62.8833,152.4333,242.88,3.16
60,Belyy Yar,100,RU,2021-12-02 15:45:20,85,53.6039,91.3903,261.09,2.0
61,Saldanha,1,ZA,2021-12-02 15:41:33,68,-33.0117,17.9442,294.18,9.59
62,Castro,60,BR,2021-12-02 15:41:31,41,-24.7911,-50.0119,300.71,3.14
63,Tanout,55,NE,2021-12-02 15:45:20,12,14.9709,8.8879,301.92,5.92
64,Busselton,0,AU,2021-12-02 15:39:05,74,-33.65,115.3333,286.53,8.47
65,Challapata,93,BO,2021-12-02 15:45:20,42,-18.9,-66.7667,289.04,2.25
66,Mossamedes,75,AO,2021-12-02 15:39:02,69,-15.1961,12.1522,298.5,8.75
67,Jumla,100,NP,2021-12-02 15:39:04,99,29.2747,82.1838,280.75,1.4
68,Kotel'nich,97,RU,2021-12-02 15:45:21,84,58.3089,48.348,267.88,5.24
69,Kahului,1,US,2021-12-02 15:41:54,94,20.8947,-156.47,293.74,2.57
70,Kousséri,9,CM,2021-12-02 15:45:21,12,12.0769,15.0306,309.13,3.6
71,Port Alfred,95,ZA,2021-12-02 15:40:10,69,-33.5906,26.891,292.27,9.18
72,Kaitangata,89,NZ,2021-12-02 15:40:03,97,-46.2817,169.8464,285.23,2.06
73,Te Anau,100,NZ,2021-12-02 15:39:23,99,-45.4167,167.7167,285.32,0.85
74,Manbij,0,SY,2021-12-02 15:45:22,42,36.5281,37.9549,282.58,1.67
75,Bluff,100,NZ,2021-12-02 15:39:03,94,-46.6,168.3333,286.37,2.51
76,Pevek,92,RU,2021-12-02 15:45:22,95,69.7008,170.3133,247.03,1.75
77,Chestermere,40,CA,2021-12-02 15:45:23,94,51.0334,-113.8187,273.6,2.06
78,Nikolskoye,100,RU,2021-12-02 15:39:03,97,59.7035,30.7861,264.09,1.66
79,Chardara,96,KZ,2021-12-02 15:45:23,29,41.2547,67.9692,287.94,5.68
80,Souillac,75,MU,2021-12-02 15:42:16,78,-20.5167,57.5167,300.36,5.14
81,Anori,62,BR,2021-12-02 15:45:23,61,-3.7728,-61.6442,304.51,1.13
82,New Norfolk,35,AU,2021-12-02 15:39:14,70,-42.7826,147.0587,285.87,0.45
83,Hilo,1,US,2021-12-02 15:39:48,84,19.7297,-155.09,297.19,2.06
84,Kieta,64,PG,2021-12-02 15:45:24,81,-6.2167,155.6333,299.03,0.96
85,Bredasdorp,75,ZA,2021-12-02 15:40:04,59,-34.5322,20.0403,291.64,4.12
86,Guánica,42,PR,2021-12-02 15:45:24,67,17.9716,-66.908,305.36,4.92
87,George Town,40,MY,2021-12-02 15:38:13,84,5.4112,100.3354,300.31,3.58
88,Durban,96,ZA,2021-12-02 15:45:25,87,-29.8579,31.0292,298.66,4.47
89,Wonthaggi,90,AU,2021-12-02 15:45:25,76,-38.6044,145.5913,287.7,4.85
90,North Myrtle Beach,1,US,2021-12-02 15:45:26,62,33.816,-78.68,292.66,5.14
91,Pacific Grove,90,US,2021-12-02 15:41:27,93,36.6177,-121.9166,292.13,1.54
92,Faanui,48,PF,2021-12-02 15:39:13,72,-16.4833,-151.75,300.51,8.13
93,Chui,92,UY,2021-12-02 15:41:02,58,-33.6971,-53.4616,293.12,4.17
94,Kapaa,20,US,2021-12-02 15:39:12,85,22.0752,-159.319,297.33,5.66
95,Kashgar,20,CN,2021-12-02 15:45:26,43,39.4547,75.9797,271.71,2.0
96,Hobart,40,AU,2021-12-02 15:39:05,73,-42.8794,147.3294,286.07,1.79
97,Port-Gentil,40,GA,2021-12-02 15:45:27,79,-0.7193,8.7815,302.13,6.69
98,Peniche,1,PT,2021-12-02 15:45:27,62,39.3558,-9.3811,287.45,11.82
99,Ponta Delgada,75,PT,2021-12-02 15:42:41,77,37.7333,-25.6667,293.98,2.06
100,Lhokseumawe,100,ID,2021-12-02 15:45:28,86,5.1801,97.1507,298.62,1.97
101,Torbay,20,CA,2021-12-02 15:39:01,70,47.6666,-52.7314,280.14,7.2
102,Arraial do Cabo,20,BR,2021-12-02 15:40:49,73,-22.9661,-42.0278,300.13,5.14
103,Esperance,92,AU,2021-12-02 15:40:59,75,-33.8667,121.9,288.06,7.39
104,Pangnirtung,90,CA,2021-12-02 15:40:06,73,66.1451,-65.7125,262.15,3.09
105,Upernavik,100,GL,2021-12-02 15:40:21,88,72.7868,-56.1549,271.61,3.08
106,Airai,100,TL,2021-12-02 15:39:16,84,-8.9266,125.4092,289.93,1.0
107,Razdolinsk,100,RU,2021-12-02 15:45:29,91,58.4211,94.6658,269.06,4.48
108,Port Hardy,40,CA,2021-12-02 15:40:37,93,50.6996,-127.4199,277.15,3.6
109,Constitución,100,CL,2021-12-02 15:40:34,61,-35.3333,-72.4167,291.21,5.6
110,Shimoda,0,JP,2021-12-02 15:45:30,71,34.6667,138.95,283.72,4.37
111,Carnarvon,0,AU,2021-12-02 15:40:42,78,-24.8667,113.6333,294.19,8.75
112,Ribeira Grande,75,PT,2021-12-02 15:41:02,88,38.5167,-28.7,291.37,2.57
113,Bengkulu,82,ID,2021-12-02 15:39:10,86,-3.8004,102.2655,298.11,1.96
114,Port Elizabeth,20,ZA,2021-12-02 15:39:07,68,-33.918,25.5701,291.54,11.32
115,Lodja,94,CD,2021-12-02 15:45:31,91,-3.4833,23.4333,297.09,0.78
116,Monrovia,89,LR,2021-12-02 15:45:31,72,6.3005,-10.7969,301.95,4.16
117,Vanderhoof,4,CA,2021-12-02 15:45:31,67,54.0166,-124.0198,269.4,2.1
118,Novoagansk,100,RU,2021-12-02 15:45:32,88,61.9449,76.6625,272.53,6.44
119,Banda Aceh,100,ID,2021-12-02 15:45:32,79,5.5577,95.3222,299.85,0.39
120,Grand Forks,90,US,2021-12-02 15:45:32,93,47.9417,-97.4337,272.97,0.0
121,Saint-Pierre,75,RE,2021-12-02 15:41:26,80,-21.3393,55.4781,298.97,9.26
122,Altamira,75,BR,2021-12-02 15:45:33,66,-3.2033,-52.2064,305.2,1.54
123,Nuuk,40,GL,2021-12-02 15:40:59,80,64.1835,-51.7216,270.49,5.66
124,Avarua,90,CK,2021-12-02 15:39:17,94,-21.2078,-159.775,297.18,7.72
125,Olafsvik,100,IS,2021-12-02 15:45:33,79,64.8945,-23.7142,277.45,12.03
126,San Fernando,92,PH,2021-12-02 15:45:33,78,15.0286,120.6898,299.16,2.89
127,Ballina,90,AU,2021-12-02 15:45:34,96,-28.8667,153.5667,294.25,4.12
128,Loandjili,20,CG,2021-12-02 15:45:34,79,-4.7561,11.8578,302.21,4.63
129,Thompson,40,CA,2021-12-02 15:35:22,76,55.7435,-97.8558,243.24,0.0
130,Kudahuvadhoo,31,MV,2021-12-02 15:45:34,78,2.6708,72.8944,301.15,4.61
131,Tarrafal,100,CV,2021-12-02 15:45:35,65,15.2833,-23.7667,299.59,8.94
132,Nakamura,55,JP,2021-12-02 15:45:35,81,32.9833,132.9333,278.09,1.84
133,Saint George,1,US,2021-12-02 15:42:56,45,37.1041,-113.5841,286.68,1.54
134,Morón,0,AR,2021-12-02 15:41:35,55,-34.6534,-58.6198,299.26,1.79
135,Yamada,9,JP,2021-12-02 15:40:57,76,39.4667,141.95,276.71,4.35
136,Hasaki,57,JP,2021-12-02 15:40:17,53,35.7333,140.8333,281.37,9.9
137,High Level,90,CA,2021-12-02 15:45:36,92,58.5169,-117.136,257.21,7.2
138,Reggio Calabria,13,IT,2021-12-02 15:45:37,63,38.1105,15.6613,290.68,4.47
139,Yangi Marg`ilon,100,UZ,2021-12-02 15:45:37,60,40.4272,71.7189,279.83,2.06
140,Rewāri,97,IN,2021-12-02 15:45:37,33,28.1833,76.6167,289.03,1.87
141,Mehamn,98,NO,2021-12-02 15:45:38,69,71.0357,27.8492,273.25,5.76
142,Deputatsky,99,RU,2021-12-02 15:45:38,100,69.3,139.9,235.07,0.75
143,Nampula,20,MZ,2021-12-02 15:42:37,35,-15.1165,39.2666,306.12,5.66
144,Baruun-Urt,9,MN,2021-12-02 15:45:38,81,46.6806,113.2792,264.23,4.16
145,Khatanga,66,RU,2021-12-02 15:41:02,100,71.9667,102.5,231.04,2.16
146,Puerto Madryn,62,AR,2021-12-02 15:45:39,32,-42.7692,-65.0385,292.1,4.39
147,Dunedin,77,NZ,2021-12-02 15:41:24,93,-45.8742,170.5036,286.64,4.2
148,Nālūt,58,LY,2021-12-02 15:45:39,16,30.3333,10.85,289.57,3.62
149,Fukuechō,72,JP,2021-12-02 15:45:40,57,32.6881,128.8419,285.43,5.85
150,Caravelas,66,BR,2021-12-02 15:38:57,74,-17.7125,-39.2481,300.44,3.04
151,Oruzgan,55,AF,2021-12-02 15:45:41,28,32.8333,66.0,279.89,0.49
152,Yerbogachën,78,RU,2021-12-02 15:40:38,95,61.2767,108.0108,246.18,1.01
153,Vostok,100,RU,2021-12-02 15:45:41,96,46.4856,135.8833,264.88,2.17
154,Erdenet,84,MN,2021-12-02 15:45:42,79,49.0333,104.0833,262.71,1.99
155,Khasan,58,RU,2021-12-02 15:45:42,69,42.4308,130.6434,272.96,6.92
156,Voznesen'ye,59,RU,2021-12-02 15:45:42,91,61.0106,35.4781,262.28,4.13
157,Ambilobe,30,MG,2021-12-02 15:45:43,60,-13.2,49.05,300.22,1.87
158,Shingū,49,JP,2021-12-02 15:45:43,78,33.7333,135.9833,280.34,1.72
159,Severnyy,75,RU,2021-12-02 15:45:43,80,50.677,36.5532,274.17,5.0
160,Evora,1,PT,2021-12-02 15:45:44,42,38.5667,-7.9,286.67,4.87
161,Haverhill,90,US,2021-12-02 15:45:37,90,42.7762,-71.0773,285.66,0.45
162,Nador,40,MA,2021-12-02 15:39:26,62,35.174,-2.9287,287.29,5.66
163,Praia da Vitória,75,PT,2021-12-02 15:38:58,94,38.7333,-27.0667,293.01,3.39
164,Hofn,75,IS,2021-12-02 15:45:44,87,64.2539,-15.2082,276.16,7.72
165,Quatre Cocos,23,MU,2021-12-02 15:42:29,78,-20.2078,57.7625,300.21,5.38
166,Semey,0,KZ,2021-12-02 15:45:45,68,50.4111,80.2275,268.53,6.66
167,Yabrūd,0,SY,2021-12-02 15:45:45,61,33.9674,36.6574,282.96,0.93
168,Bubaque,7,GW,2021-12-02 15:41:38,58,11.2833,-15.8333,301.22,3.97
169,Cidreira,95,BR,2021-12-02 15:40:59,67,-30.1811,-50.2056,293.43,4.68
170,Labuhan,100,ID,2021-12-02 15:45:46,85,-6.8844,112.2051,299.26,1.75
171,Barrow,90,US,2021-12-02 15:39:24,70,71.2906,-156.7887,250.16,3.09
172,Pochutla,83,MX,2021-12-02 15:45:46,45,15.7432,-96.4661,303.05,1.82
173,Chokurdakh,77,RU,2021-12-02 15:39:08,100,70.6333,147.9167,233.7,2.8
174,Río Gallegos,40,AR,2021-12-02 15:41:54,33,-51.6226,-69.2181,289.18,12.35
175,Pa Sang,95,TH,2021-12-02 15:45:47,84,18.5262,98.9394,295.26,0.35
176,Kaohsiung City,75,TW,2021-12-02 15:45:47,74,22.6163,120.3133,291.12,1.34
177,Rome,90,US,2021-12-02 15:45:47,86,43.2128,-75.4557,282.41,3.09
178,São Filipe,100,CV,2021-12-02 15:41:24,66,14.8961,-24.4956,297.26,4.93
179,Eilat,76,IL,2021-12-02 15:45:48,45,29.5581,34.9482,292.45,5.53
180,Chernyshevsk,43,RU,2021-12-02 15:45:48,94,52.5243,117.0174,253.3,0.57
181,Mapiri,100,BO,2021-12-02 15:45:48,64,-15.25,-68.1667,302.02,0.52
182,Wajir,40,KE,2021-12-02 15:45:49,40,1.7471,40.0573,306.13,2.57
183,Nhulunbuy,100,AU,2021-12-02 15:45:49,89,-12.2333,136.7667,300.49,0.0
184,Makakilo City,1,US,2021-12-02 15:45:50,85,21.3469,-158.0858,294.98,2.06
185,Kosa,98,RU,2021-12-02 15:45:50,94,59.9445,54.9977,266.38,3.91
186,Hede,0,CN,2021-12-02 15:45:50,48,33.7681,120.2517,276.94,3.26
187,Anloga,72,GH,2021-12-02 15:45:50,73,5.7947,0.8973,304.27,5.95
188,São Francisco do Sul,75,BR,2021-12-02 15:45:51,73,-26.2433,-48.6381,296.1,0.51
189,Menzel Salem,16,TN,2021-12-02 15:45:51,38,35.8567,8.4765,286.15,6.75
190,Zarubino,67,RU,2021-12-02 15:45:51,61,42.63,131.0922,273.91,10.22
191,Norman Wells,90,CA,2021-12-02 15:42:55,64,65.282,-126.8329,247.17,8.75
192,Kiryat Gat,35,IL,2021-12-02 15:41:01,29,31.61,34.7642,291.38,2.61
193,Ambanja,18,MG,2021-12-02 15:45:52,85,-13.6833,48.45,301.11,1.56
